movieCd,rating
19950325,
19950327,
19958229,8.36
19958426,
19960010,
19960015,7.28
19960059,7.79
19960083,8.67
19960085,7.26
19960091,6.38
19960107,
19960126,
19960177,
19960325,8.35
19960357,7.15
19968109,
19968258,7.39
19968735,
19969014,9.09
19970007,
19970014,8.65
19970018,
19970019,8.11
19970022,8.45
19970027,8.76
19970033,8.83
19970089,9.16
19970099,8.61
19970103,8.84
19970157,7.96
19970299,8.67
19970306,
19970321,
19978194,7.77
19980009,8.58
19980036,9.23
19980048,8.0
19980070,
19980074,9.33
19980089,9.34
19980148,
19980230,
19980231,9.33
19980282,9.01
19988258,8.39
19988647,8.0
19990050,
19990053,
19990056,8.26
19990069,
19990070,8.59
19990077,8.87
19990140,9.39
19990191,8.7
19990193,
19990225,8.23
19990248,8.98
19990268,8.02
19990303,
19998583,
20000005,
20000006,8.07
20000011,9.0
20000017,8.12
20000024,8.48
20000029,7.29
20000038,8.2
20000044,9.27
20000059,8.67
20000067,
20000089,8.62
20000100,
20000141,
20000228,
20000262,
20008343,
20009175,9.0
20010013,9.09
20010036,9.06
20010047,8.99
20010057,7.43
20010061,8.41
20010089,8.49
20010096,
20010130,9.29
20010152,
20010238,
20010264,
20010291,9.22
20010292,
20011456,8.41
20018583,7.77
20020047,9.1
20020053,8.78
20020061,
20020065,7.88
20020074,5.76
20020080,7.62
20020106,
20020114,
20020168,9.37
20020186,
20020223,
20020226,
20020313,9.08
20021338,0.0
20028450,
20028642,
20028910,
20030003,9.37
20030009,8.88
20030010,
20030028,
20030033,8.88
20030043,
20030046,9.37
20030047,9.34
20030060,7.92
20030072,8.52
20030108,6.92
20030127,7.88
20030131,8.72
20030142,
20030272,8.21
20030328,8.65
20030350,9.05
20030399,8.88
20030401,9.27
20030404,8.96
20031084,0.0
20038755,
20040447,
20040484,
20040520,10.0
20040525,8.6
20040526,9.22
20040549,9.3
20040654,8.15
20040671,5.49
20040688,7.99
20040689,8.76
20040695,9.08
20040703,9.01
20040721,
20040725,
20040734,9.04
20040756,9.1
20040790,8.53
20040797,9.02
20040798,
20040800,7.0
20041524,8.08
20048275,3.26
20048799,8.92
20050009,8.16
20050017,
20050028,
20050038,8.86
20050042,9.34
20050052,
20050082,9.11
20050106,7.31
20050135,5.52
20050148,7.37
20050216,5.86
20050236,
20050239,9.07
20050245,
20050250,
20050265,8.79
20050328,
20050347,8.19
20058053,8.61
20058701,
20058720,8.7
20058765,8.55
20058808,
20060022,8.93
20060040,8.67
20060069,
20060082,
20060127,9.04
20060151,
20060169,7.52
20060170,8.62
20060171,7.85
20060201,
20060204,7.8
20060261,7.69
20060264,8.65
20060273,8.06
20060277,
20060365,
20060366,
20060380,9.6
20060388,7.61
20060402,7.36
20060430,8.91
20060434,10.0
20060436,10.0
20060474,8.96
20061257,0.0
20061274,0.0
20068576,6.5
20068659,
20068730,
20068788,
20070008,
20070034,8.84
20070054,8.97
20070068,9.23
20070083,8.28
20070099,7.57
20070114,7.81
20070115,7.85
20070135,
20070147,7.6
20070157,
20070174,
20070185,7.47
20070202,8.19
20070216,9.21
20070293,4.57
20070377,7.12
20070396,8.31
20070422,9.25
20070454,
20070458,8.35
20070482,7.27
20070486,
20070493,
20070552,7.82
20070582,8.53
20070585,9.0
20070588,9.33
20070602,9.01
20071004,7.21
20071016,
20071017,8.5
20071018,8.85
20071021,
20071054,8.88
20071066,
20072065,
20072067,9.21
20072141,9.0
20072171,6.05
20072685,9.65
20072686,6.75
20078561,8.4
20078584,7.49
20078599,4.5
20080017,8.19
20080053,8.67
20080065,
20080071,
20080098,
20080163,
20080184,0.0
20080215,7.7
20080222,7.06
20080227,8.05
20080237,8.03
20080238,7.86
20080239,
20080243,
20080244,8.81
20080246,
20080247,
20080250,
20080259,
20080266,8.65
20080268,7.22
20080269,9.15
20080306,9.0
20080314,8.5
20080328,
20080349,9.08
20080499,8.8
20080513,9.23
20080517,8.73
20080576,8.89
20080591,6.24
20080603,8.98
20080605,9.01
20080611,7.78
20080677,8.96
20080688,8.71
20080690,7.67
20080693,7.5
20080695,7.69
20080696,8.84
20080697,8.63
20080698,8.09
20080699,4.0
